ID_Tiempo_Costo,ID_Ruta,Tiempo_Transporte (hrs),Costo_Total ($),Fecha_Transporte
TC695,R440,1.17,118,2024-12-23
TC696,R389,1.14,105,2019-05-06
TC697,R246,3.76,296,2020-07-16
TC698,R028,4.72,318,2017-05-21
TC699,R024,9.12,56,2020-04-19
TC700,R369,8.14,217,2023-11-16
TC701,R100,7.63,157,2023-07-26
TC702,R279,5.16,247,2017-06-19
TC703,R308,7.26,327,2018-05-27
TC704,R323,3.92,446,2024-12-04
TC705,R234,5.81,439,2018-04-18
TC706,R440,5.43,282,2023-03-03
TC707,R176,1.67,415,2024-07-15
TC708,R173,8.82,435,2016/10/15
TC709,R085,1.8,479,2018-10-14
TC710,R018,3.75,195,2024-04-15
TC711,R047,8.23,72,2018-10-28
TC712,R007,7.9,449,2017-09-10
TC713,R147,2.38,51,2020-06-27
TC714,R188,7.71,71,2018-11-15
TC715,R210,7.52,396,2017-10-08
TC716,R283,8.07,306,2018-09-01
TC717,R431,3.82,139,2017-08-07
TC718,R038,2.41,474,2017-01-24
TC719,R185,7.71,70,2018-06-30
TC720,R323,4.46,52,2020-10-28
TC721,R445,9.9,176,2024-07-02
TC722,R216,5.92,311,2017-01-17
TC723,R353,5.35,246,2019-12-15
TC724,R352,9.18,68,2016/02/23
TC725,R351,2.55,76,2019-03-31
TC726,R346,5.75,315,2017-12-07
TC727,R254,5.75,150,2020-08-06
TC728,R345,4.76,461,2022-04-30
TC729,R489,4.45,242,2022-10-09
TC730,R294,6.38,351,2017-07-15
TC731,R087,3.74,206,2016/07/17
TC732,R300,2.73,344,2024-11-26
TC733,R286,8.79,72,2016/01/29
TC734,R013,9.67,432,2018-07-05
TC735,R367,7.84,62,2018-09-22
TC736,R269,3.19,368,2021-08-04
TC737,R332,9.31,496,2023-07-21
TC738,R058,3.96,324,2023-11-14
TC739,R447,2.95,289,2024-08-24
TC740,R441,6.99,316,2017-12-17
TC741,R129,4.69,229,2021-07-05
TC742,R230,4.29,117,2022-11-14
TC743,R435,8.59,484,2018-11-19
TC744,R295,2.99,397,2022-05-08
TC745,R447,5.24,439,2022-01-04
TC746,R228,8.12,253,2017-01-09
TC747,R087,9.92,495,2021-09-23
TC748,R344,1.42,289,2017-01-21
TC749,R049,9.37,480,2017-03-19
TC750,R181,2.47,355,2023-10-18
TC751,R027,3.8,488,2021-10-25
TC752,R130,1.1,489,2020-12-23
TC753,R292,4.04,315,2025-01-07
TC754,R300,5.68,365,2022-05-30
TC755,R439,2.86,236,2021-09-04
TC756,R143,8.71,439,2018-08-23
TC757,R465,8.82,385,2018-08-01
TC758,R163,3.07,393,2020-09-15
TC759,R212,9.68,142,2022-11-16
TC760,R215,2.17,202,2025-01-03
TC761,R168,7.87,310,2019-03-12
TC762,R369,1.04,333,2021-12-27
TC763,R486,6.58,166,2024-06-14
TC764,R327,2.6,364,2023-08-24
TC765,R363,1.27,381,2016/12/09
TC766,R230,2.88,353,2022-09-13
TC767,R197,1.21,114,2021-07-26
TC768,R102,2.46,408,2019-06-02
TC769,R139,2.31,306,2021-03-11
TC770,R188,2.52,273,2022-03-20
TC771,R021,3.68,247,2019-07-16
TC772,R288,1.4,263,2023-03-18
TC773,R454,8.49,54,2023-05-24
TC774,R472,4.96,365,2019-04-02
TC775,R369,4.9,359,2022-05-06
TC776,R092,7.24,443,2020-05-10
TC777,R483,3.23,271,2017-09-01
TC778,R390,4.83,76,2016/06/12
TC779,R296,1.63,226,2023-07-24
TC780,R413,6.82,340,2018-11-13
TC781,R209,7.26,198,2021-10-04
TC782,R440,8.02,380,2020-10-05
TC783,R432,9.09,52,2023-01-06
TC784,R390,9.15,481,2021-12-24
TC785,R374,9.21,313,2021-11-22
TC786,R497,4.8,264,2021-03-25
TC787,R245,4.23,110,2017-12-04
TC788,R075,1.71,300,2023-12-03
TC789,R314,8.58,250,2019-11-24
TC790,R322,2.85,375,2019-07-16
TC791,R316,2.1,382,2018-08-28
TC792,R178,8.04,257,2023-11-30
TC793,R088,3.62,421,2016/10/25
TC794,R058,8.37,421,2020-03-03
TC795,R367,3.59,427,2024-08-31
TC796,R259,4.37,193,2023-10-09
TC797,R004,4.05,346,2021-03-06
TC798,R322,9.79,241,2022-10-14
TC799,R003,5.76,104,2024-06-16
TC800,R201,4.68,64,2019-08-24
TC801,R374,6.64,194,2017-08-02
TC802,R203,1.02,434,2022-03-19
TC803,R287,7.26,224,2021-01-14
TC804,R172,5.3,448,2019-10-16
TC805,R333,7.35,179,2018-09-30
TC806,R212,3.47,467,2021-01-27
TC807,R347,1.74,54,2021-08-18
TC808,R231,2.62,82,2017-12-19
TC809,R139,3.19,384,2018-07-05
TC810,R015,3.63,313,2017-12-17
TC811,R132,2.59,180,2023-10-05
TC812,R209,4.27,346,2017-08-07
TC813,R281,2.38,198,2019-08-29
TC814,R132,7.67,164,2017-10-22
TC815,R464,1.36,416,2016/04/08
TC816,R448,9.11,107,2021-09-02
TC817,R369,6.9,473,2024-06-11
TC818,R166,9.61,302,2021-03-13
TC819,R161,6.81,458,2024-01-15
TC820,R217,7.16,423,2023-04-11
TC821,R114,3.26,314,2021-04-23
TC822,R264,2.79,497,2019-05-08
TC823,R030,5.22,360,2023-11-17
TC824,R040,3.21,152,2023-08-29
TC825,R044,1.15,357,2023-10-31
TC826,R146,7.69,189,2016/07/08
TC827,R069,1.15,499,2024-08-27
TC828,R244,5.13,298,2017-08-24
TC829,R127,4.58,333,2017-01-26
TC830,R037,6.28,295,2023-11-14
TC831,R202,3.64,53,2016/04/06
TC832,R329,8.02,53,2023-12-26
TC833,R352,4.57,274,2024-11-10
TC834,R202,7.3,308,2017-08-28
TC835,R004,9.27,225,2019-12-24
TC836,R273,9.13,171,2019-12-15
TC837,R279,7.63,213,2024-11-08
TC838,R427,9.45,369,2021-04-17
TC839,R330,7.61,77,2024-09-04
TC840,R017,5.57,86,2018-05-05
TC841,R215,6.25,497,2021-01-30
TC842,R383,6.52,80,2020-02-28
TC843,R451,5.93,449,2017-04-17
TC844,R275,2.55,397,2023-11-07
TC845,R046,8.6,434,2025-01-03
TC846,R458,7.33,153,2019-08-17
TC847,R201,1.11,255,2019-08-14
TC848,R223,3.46,481,2019-06-16
TC849,R457,3.29,66,2019-09-23
TC850,R337,7.6,450,2023-10-01
TC851,R127,9.1,345,2021-11-05
TC852,R333,5.22,361,2024-12-23
TC853,R316,3.76,341,2021-08-12
TC854,R188,7.69,325,2022-03-09
TC855,R477,3.97,158,2019-10-31
TC856,R388,9.34,52,2016/12/06
TC857,R192,2.2,270,2018-10-07
TC858,R355,9.11,464,2019-12-29
TC859,R024,9.36,432,2016/05/08
TC860,R490,6.31,348,2019-04-07
TC861,R268,8.56,327,2016/06/29
TC862,R320,3.34,198,2018-01-30
TC863,R178,3.21,309,2017-02-24
TC864,R169,5.3,232,2023-10-07
TC865,R082,1.21,72,2017-10-06
TC866,R223,7.0,396,2017-10-18
TC867,R032,4.46,418,2018-09-02
TC868,R054,3.31,393,2024-08-27
TC869,R324,8.49,349,2018-03-09
TC870,R479,2.14,498,2016/07/27
TC871,R150,4.05,176,2024-09-25
TC872,R471,4.37,421,2022-05-21
TC873,R291,1.61,312,2023-09-06
TC874,R328,5.67,386,2024-11-11
TC875,R466,7.45,151,2022-08-30
TC876,R215,3.74,218,2018-04-18
TC877,R162,1.26,211,2024-12-31
TC878,R081,2.14,479,2020-10-13
TC879,R286,8.68,204,2020-02-19
TC880,R457,6.48,173,2022-10-24
TC881,R398,2.13,269,2024-04-07
TC882,R022,3.14,446,2021-07-12
TC883,R496,7.5,397,2024-08-09
TC884,R106,5.11,345,2021-03-18
TC885,R110,2.91,178,2020-06-21
TC886,R166,3.89,484,2019-05-19
TC887,R377,6.2,494,2017-12-17
TC888,R454,4.48,468,2020-11-22
TC889,R166,2.49,465,2023-11-09
TC890,R312,9.5,386,2024-07-18
TC891,R459,4.58,332,2019-04-03
TC892,R346,5.14,494,2021-03-14
TC893,R356,7.82,164,2024-04-22
TC894,R285,3.61,232,2022-09-08
TC895,R480,1.26,469,2016/02/28
TC896,R043,1.32,308,2019-12-06
TC897,R401,4.08,148,2016/10/06
TC898,R091,3.6,243,2020-01-26
TC899,R132,1.2,329,2022-08-29
TC900,R401,1.87,469,2019-06-27
TC901,R298,6.24,455,2017-03-18
TC902,R431,8.69,176,2021-03-05
TC903,R062,5.87,497,2017-11-17
TC904,R495,2.97,491,2022-03-08
TC905,R091,3.23,167,2017-06-08
TC906,R269,2.83,292,2024-09-26
TC907,R337,2.89,496,2021-03-05
TC908,R193,9.24,365,2022-05-26
TC909,R110,6.32,213,2020-11-30
TC910,R052,2.38,417,2021-07-25
TC911,R058,2.22,172,2020-07-12
TC912,R291,8.6,364,2021-01-18
TC913,R091,9.91,262,2020-07-13
TC914,R182,8.95,477,2024-12-25
TC915,R200,2.24,415,2021-07-11
TC916,R328,6.8,252,2021-12-02
TC917,R080,1.74,313,2019-08-20
TC918,R467,9.34,165,2023-12-19
TC919,R475,1.91,315,2019-03-16
TC920,R116,8.03,485,2021-03-23
TC921,R140,3.93,425,2023-01-05
TC922,R192,4.08,126,2020-09-11
TC923,R466,8.23,107,2016/01/12
TC924,R099,9.74,77,2018-10-18
TC925,R166,4.61,477,2016/11/18
TC926,R335,5.14,109,2019-02-09
TC927,R272,9.03,355,2017-09-17
TC928,R412,4.57,411,2021-08-29
TC929,R069,8.21,224,2023-03-19
TC930,R431,5.5,115,2019-05-29
TC931,R397,2.25,152,2024-03-28
TC932,R291,4.57,365,2018-05-22
TC933,R159,2.21,351,2024-10-18
TC934,R344,2.79,361,2019-01-14
TC935,R362,9.88,281,2016/08/29
TC936,R485,6.9,308,2016/10/16
TC937,R321,8.46,153,2016/12/10
TC938,R034,6.29,238,2016/04/08
TC939,R189,1.8,170,2022-11-30
TC940,R255,9.29,498,2016/09/17
TC941,R207,9.51,314,2019-04-20
TC942,R262,8.61,292,2022-06-29
TC943,R408,1.11,81,2023-02-04
TC944,R286,1.34,278,2020-06-29
TC945,R051,7.76,436,2021-09-10
TC946,R215,2.03,67,2022-12-19
TC947,R361,4.87,358,2024-06-09
TC948,R439,9.07,242,2024-01-24
TC949,R165,9.9,261,2022-10-01
TC950,R281,9.63,226,2023-01-21
TC951,R360,9.59,99,2016/04/24
TC952,R069,2.52,133,2021-05-10
TC953,R459,6.46,52,2021-05-02
TC954,R026,5.75,129,2020-09-22
TC955,R011,2.58,467,2016/09/04
TC956,R020,8.0,480,2019-09-26
TC957,R145,8.17,237,2021-03-15
TC958,R333,1.4,124,2017-03-30
TC959,R029,1.44,386,2024-04-23
TC960,R169,2.67,406,2019-04-16
TC961,R192,8.37,328,2023-03-26
TC962,R036,2.1,300,2016/12/14
TC963,R286,4.09,375,2017-01-23
TC964,R462,7.72,297,2023-03-04
TC965,R441,4.43,415,2019-03-27
TC966,R480,4.55,268,2024-06-25
TC967,R476,7.45,488,2019-07-29
TC968,R395,3.84,474,2016/02/14
TC969,R277,7.27,225,2017-03-06
TC970,R029,6.12,377,2020-11-07
TC971,R126,3.88,337,2024-02-10
TC972,R173,3.23,265,2020-08-05
TC973,R190,6.41,136,2024-10-08
TC974,R351,7.26,144,2018-09-03
TC975,R163,3.08,398,2024-09-26
TC976,R178,7.03,108,2016/06/24
TC977,R432,7.39,404,2021-04-12
TC978,R257,6.78,113,2019-04-17
TC979,R373,1.48,281,2017-10-18
TC980,R488,8.35,418,2019-06-19
TC981,R256,5.51,308,2022-11-04
TC982,R456,9.34,322,2024-06-28
TC983,R395,6.64,121,2016/11/26
TC984,R444,5.08,253,2022-08-16
TC985,R210,4.78,286,2023-11-14
TC986,R470,5.79,110,2021-09-07
TC987,R329,8.37,487,2016/05/10
TC988,R015,8.58,116,2023-03-12
TC989,R381,3.64,159,2024-04-18
TC990,R293,5.11,87,2021-01-02
TC991,R435,1.75,456,2017-09-14
TC992,R157,8.89,464,2017-08-07
TC993,R337,3.2,190,2024-07-10
TC994,R383,2.69,191,2024-10-08
TC995,R030,6.01,261,2020-03-05
TC996,R347,3.24,427,2024-03-18
TC997,R183,9.55,337,2016/04/22
TC998,R024,1.94,69,2021-11-13
TC999,R085,3.92,499,2018-01-17
TC1000,R118,7.13,372,2023-07-20
TC1001,R321,7.63,261,2021-05-31
TC1002,R082,5.45,338,2020-07-22
TC1003,R101,3.93,154,2017-09-22
TC1004,R395,4.47,424,2017-09-27
TC1005,R305,1.34,397,2016/03/21
TC1006,R240,3.82,362,2018-09-26
TC1007,R432,3.01,280,2018-10-22
TC1008,R056,8.63,296,2022-05-08
TC1009,R452,7.37,461,2018-09-29
TC1010,R327,6.34,371,2024-03-30
TC1011,R211,1.81,494,2016/12/03
TC1012,R181,4.14,385,2024-08-21
TC1013,R444,6.87,249,2023-07-31
TC1014,R406,1.83,299,2018-09-20
TC1015,R020,6.76,343,2022-05-07
TC1016,R463,2.85,482,2016/10/24
TC1017,R489,3.89,235,2019-06-13
TC1018,R435,5.17,152,2016/01/02
TC1019,R046,8.12,278,2020-01-26
TC1020,R121,3.61,309,2024-07-03
TC1021,R238,4.22,293,2019-03-24
TC1022,R077,1.89,288,2019-09-16
TC1023,R352,3.69,225,2024-09-08
TC1024,R040,6.84,189,2022-06-18
TC1025,R080,7.38,428,2019-10-11
TC1026,R383,4.21,349,2022-11-08
TC1027,R163,9.5,420,2024-06-21
TC1028,R457,6.05,95,2024-11-01
TC1029,R429,1.02,234,2022-03-18
TC1030,R102,7.05,387,2018-05-25
TC1031,R102,3.86,354,2019-03-11
TC1032,R386,4.82,425,2017-05-25
TC1033,R360,7.13,312,2024-09-01
TC1034,R466,9.69,246,2018-01-23
TC1035,R053,4.96,312,2020-05-28
TC1036,R235,3.99,475,2024-12-18
TC1037,R417,1.71,366,2016/01/03
TC1038,R407,9.87,418,2025-01-19
TC1039,R315,9.48,378,2016/05/06
TC1040,R426,2.63,193,2021-08-20
TC1041,R315,5.46,203,2021-06-30
TC1042,R279,1.56,76,2018-07-25
TC1043,R044,5.24,406,2022-12-29
TC1044,R045,8.36,422,2019-04-29
TC1045,R443,9.16,381,2018-04-09
TC1046,R080,4.08,485,2017-02-18
TC1047,R362,1.46,237,2017-12-12
TC1048,R192,4.05,328,2024-05-25
TC1049,R347,3.36,303,2024-06-16
TC1050,R370,6.76,175,2024-11-26
TC1051,R313,1.52,473,2022-09-06
TC1052,R364,2.41,376,2022-11-28
TC1053,R082,8.28,387,2020-09-17
TC1054,R278,5.19,133,2018-03-29
TC1055,R339,3.95,404,2019-11-27
TC1056,R447,6.08,466,2019-01-10
TC1057,R038,8.21,297,2021-07-02
TC1058,R020,3.69,426,2016/04/12
TC1059,R381,3.47,157,2018-07-28
TC1060,R297,8.89,151,2017-11-08
TC1061,R427,4.18,417,2022-06-06
TC1062,R298,6.09,368,2016/05/30
TC1063,R078,6.55,467,2023-06-30
TC1064,R225,6.85,196,2019-10-12
TC1065,R154,2.26,222,2016/07/10
TC1066,R063,8.63,386,2024-10-14
TC1067,R199,9.99,444,2019-12-03
TC1068,R051,1.58,56,2019-07-30
TC1069,R073,6.53,473,2019-05-23
TC1070,R485,2.6,199,2018-08-27
TC1071,R089,7.66,221,2019-05-17
TC1072,R081,5.28,382,2022-08-22
TC1073,R263,8.61,232,2021-06-08
TC1074,R147,1.55,432,2018-10-20
TC1075,R385,1.04,305,2018-06-12
TC1076,R004,3.44,141,2021-05-13
TC1077,R421,2.7,493,2019-01-12
TC1078,R183,8.31,432,2017-10-22
TC1079,R493,9.55,134,2018-10-31
TC1080,R319,1.67,218,2019-11-01
TC1081,R223,8.17,170,2020-05-01
TC1082,R319,1.65,137,2024-04-22
TC1083,R472,9.25,487,2017-06-03
TC1084,R189,6.6,225,2019-03-23
TC1085,R431,4.18,257,2018-12-21
TC1086,R027,6.67,252,2017-08-19
TC1087,R208,8.49,175,2017-12-07
TC1088,R094,2.96,337,2017-02-21
TC1089,R347,4.66,492,2019-12-23
TC1090,R251,6.47,476,2019-10-01
TC1091,R111,5.89,315,2017-09-26
TC1092,R102,4.65,177,2017-07-04
TC1093,R367,2.46,437,2021-12-24
TC1094,R095,1.54,163,2016/04/11
TC1095,R088,1.05,365,2018-11-09
TC1096,R497,1.21,130,2022-04-09
TC1097,R128,6.1,420,2016/04/28
TC1098,R466,8.14,289,2016/03/18
TC1099,R185,7.18,429,2020-07-13
TC1100,R400,5.69,267,2021-03-28
TC1101,R495,2.68,308,2020-07-02
TC1102,R310,8.43,110,2020-05-09
TC1103,R117,2.58,454,2020-02-12
TC1104,R072,3.6,496,2018-06-19
TC1105,R297,7.16,75,2024-06-18
TC1106,R227,3.33,182,2016/09/04
TC1107,R104,6.08,51,2024-05-13
TC1108,R030,7.92,472,2018-09-06
TC1109,R285,8.28,290,2019-10-27
TC1110,R241,6.89,323,2016/09/17
TC1111,R229,3.8,256,2022-07-22
TC1112,R339,1.33,60,2019-01-26
TC1113,R128,4.89,173,2021-01-21
TC1114,R107,4.89,378,2016/03/20
TC1115,R147,2.79,380,2019-06-30
TC1116,R203,7.1,81,2021-09-03
TC1117,R108,7.95,224,2018-04-14
TC1118,R378,3.77,238,2025-01-17
TC1119,R107,5.71,118,2016/03/12
TC1120,R130,4.22,427,2017-04-14
TC1121,R227,7.06,72,2023-06-24
TC1122,R443,3.48,432,2019-06-05
TC1123,R330,7.49,447,2017-01-07
TC1124,R315,5.55,339,2020-02-23
TC1125,R406,9.44,500,2025-01-16
TC1126,R380,6.32,127,2022-03-10
TC1127,R121,3.03,156,2019-05-31
TC1128,R126,8.45,169,2020-05-30
TC1129,R399,3.0,424,2018-02-01
TC1130,R155,1.01,274,2019-07-21
TC1131,R425,3.28,391,2024-10-13
TC1132,R457,6.09,62,2024-08-28
TC1133,R055,3.97,466,2022-06-27
TC1134,R232,9.86,103,2020-06-22
TC1135,R478,8.61,86,2018-06-18
TC1136,R118,6.01,416,2023-01-27
TC1137,R442,2.26,221,2017-08-16
TC1138,R171,3.67,152,2018-05-21
TC1139,R236,3.73,79,2018-12-19
TC1140,R049,1.21,78,2020-07-02
TC1141,R402,9.5,95,2024-01-15
TC1142,R109,3.64,494,2021-03-01
TC1143,R379,8.59,469,2016/01/07
TC1144,R159,7.22,440,2021-08-06
TC1145,R052,2.41,137,2024-09-19
TC1146,R417,8.08,165,2024-09-03
TC1147,R298,1.49,66,2020-07-09
TC1148,R456,7.78,260,2022-02-06
TC1149,R296,5.12,392,2016/11/21
TC1150,R086,4.4,489,2021-10-28
TC1151,R374,2.47,418,2016/02/03
TC1152,R434,5.35,68,2021-06-03
TC1153,R395,4.7,369,2022-04-10
TC1154,R316,5.26,199,2019-11-30
TC1155,R287,4.99,153,2023-07-31
TC1156,R060,4.64,310,2018-03-25
TC1157,R169,8.32,61,2019-10-08
TC1158,R280,8.88,176,2023-12-05
TC1159,R394,5.13,232,2024-04-21
TC1160,R082,8.9,277,2020-11-29
TC1161,R356,8.47,73,2022-03-07
TC1162,R202,3.76,114,2024-11-11
TC1163,R020,9.34,148,2021-11-01
TC1164,R441,3.37,414,2018-04-17
TC1165,R215,9.22,215,2017-04-05
TC1166,R332,5.49,393,2019-04-26
TC1167,R106,6.02,442,2020-03-09
TC1168,R188,7.37,87,2018-06-12
TC1169,R297,6.45,227,2024-03-13
TC1170,R060,9.83,384,2018-05-13
TC1171,R212,4.98,484,2023-07-23
TC1172,R208,7.51,472,2017-06-24
TC1173,R408,8.14,498,2018-04-26
TC1174,R149,2.95,91,2021-12-06
TC1175,R455,1.81,100,2020-10-16
TC1176,R412,2.57,470,2022-05-07
TC1177,R240,7.55,129,2022-02-28
TC1178,R252,4.8,225,2017-06-23
TC1179,R275,1.44,491,2021-11-22
TC1180,R102,3.7,180,2017-07-21
TC1181,R334,8.99,228,2019-07-28
TC1182,R144,6.49,368,2020-01-21
TC1183,R158,7.95,417,2024-08-15
TC1184,R399,4.45,143,2020-08-09
TC1185,R326,1.39,141,2016/09/14
TC1186,R335,3.18,355,2023-02-08
TC1187,R444,2.12,375,2019-01-28
TC1188,R164,7.8,453,2019-09-03
TC1189,R058,1.76,476,2019-07-04
TC1190,R394,8.28,213,2017-04-01
TC1191,R237,4.68,373,2016/12/03
TC1192,R326,2.01,280,2018-08-04
TC1193,R055,8.05,171,2024-08-09
TC1194,R260,2.51,106,2022-07-21
TC1195,R308,6.51,232,2019-03-10
TC1196,R140,8.7,244,2017-09-02
TC1197,R467,8.49,297,2018-05-18
TC1198,R022,8.54,85,2018-10-25
TC1199,R158,2.02,344,2021-02-06
TC1200,R179,9.93,185,2020-02-11
TC1201,R122,9.06,406,2018-07-11
TC1202,R057,8.93,396,2023-10-30
TC1203,R366,8.3,439,2019-10-08
TC1204,R219,8.87,108,2020-06-15
TC1205,R372,2.29,386,2017-11-25
TC1206,R385,5.42,268,2023-06-17
TC1207,R443,6.86,102,2023-10-13
TC1208,R137,3.04,122,2022-08-30
TC1209,R113,4.8,59,2024-02-07
TC1210,R451,9.02,308,2021-05-19
TC1211,R339,3.2,285,2023-06-10
TC1212,R379,9.58,210,2018-02-26
TC1213,R432,7.67,429,2020-01-25
TC1214,R477,5.33,399,2018-06-06
TC1215,R275,1.63,357,2023-09-21
TC1216,R263,8.27,126,2024-02-06
TC1217,R175,2.15,167,2023-12-19
TC1218,R172,5.51,69,2017-03-21
TC1219,R040,5.63,352,2019-09-16
TC1220,R155,2.75,100,2018-12-03
TC1221,R168,7.68,290,2020-12-28
TC1222,R477,9.58,212,2017-07-19
TC1223,R324,8.8,142,2019-10-16
TC1224,R108,5.06,380,2016/11/27
TC1225,R460,7.98,370,2022-04-29
TC1226,R476,3.71,478,2016/12/30
TC1227,R296,7.14,113,2016/11/16
TC1228,R227,6.28,419,2021-04-02
TC1229,R169,1.38,482,2017-05-31
TC1230,R019,3.4,77,2023-12-15
TC1231,R132,1.55,434,2016/07/05
TC1232,R110,7.96,292,2022-06-24
TC1233,R090,2.58,403,2017-10-03
TC1234,R175,9.71,79,2020-01-31
TC1235,R085,5.93,342,2023-05-23
TC1236,R257,8.48,52,2024-07-01
TC1237,R465,7.59,55,2021-08-27
TC1238,R290,7.35,241,2016/06/19
TC1239,R057,6.27,51,2019-01-14
TC1240,R182,8.54,282,2016/08/18
TC1241,R357,7.18,429,2019-08-31
TC1242,R248,2.71,490,2024-12-25
TC1243,R369,3.93,320,2022-12-15
TC1244,R320,3.59,355,2020-05-07
TC1245,R147,9.46,125,2021-08-25
TC1246,R413,5.36,459,2019-01-03
TC1247,R235,5.56,462,2023-05-02
TC1248,R313,4.63,239,2022-06-25
TC1249,R012,6.08,392,2020-03-13
TC1250,R323,8.14,156,2018-02-20
TC1251,R402,5.68,425,2016/06/10
TC1252,R272,7.34,445,2020-01-20
TC1253,R161,8.64,472,2022-06-05
TC1254,R125,7.96,69,2024-06-21
TC1255,R354,2.03,208,2018-08-09
TC1256,R287,3.66,372,2018-04-09
TC1257,R179,1.3,395,2023-07-31
TC1258,R143,7.94,163,2021-06-24
TC1259,R482,2.43,387,2019-01-14
TC1260,R368,3.01,270,2021-03-23
TC1261,R450,8.02,114,2023-02-13
TC1262,R028,3.8,51,2021-08-28
TC1263,R154,4.97,127,2024-05-22
TC1264,R454,1.01,494,2016/04/25
TC1265,R455,2.48,445,2024-05-30
TC1266,R348,6.93,266,2016/01/25
TC1267,R206,8.82,295,2020-05-03
TC1268,R392,8.19,172,2020-04-30
TC1269,R239,2.99,84,2024-06-16
TC1270,R092,3.81,470,2019-03-25
TC1271,R488,6.56,316,2024-05-19
TC1272,R083,9.95,447,2020-02-05
TC1273,R458,3.98,469,2017-10-25
TC1274,R193,6.08,127,2020-02-09
TC1275,R250,9.48,490,2018-11-06
TC1276,R388,6.45,157,2018-03-21
TC1277,R191,4.55,156,2020-08-01
TC1278,R424,3.54,295,2017-03-28
TC1279,R046,1.83,69,2020-07-05
TC1280,R153,4.71,473,2022-05-18
TC1281,R479,2.04,264,2024-05-16
TC1282,R382,7.61,234,2020-08-10
TC1283,R063,9.75,335,2025-01-05
TC1284,R438,7.06,451,2024-10-01
TC1285,R337,8.41,281,2018-12-08
TC1286,R424,3.43,53,2019-09-29
TC1287,R407,8.91,468,2024-03-03
TC1288,R191,6.96,195,2020-03-09
TC1289,R371,7.32,84,2020-01-12
TC1290,R386,2.68,134,2024-07-17
TC1291,R279,8.63,195,2020-06-03
TC1292,R354,2.84,402,2020-07-06
TC1293,R403,5.42,138,2020-07-03
TC1294,R424,3.5,406,2016/08/15
TC1295,R354,8.26,112,2018-08-24
TC1296,R253,4.58,333,2018-05-05
TC1297,R420,7.24,271,2017-01-02
TC1298,R276,7.6,274,2020-07-14
TC1299,R419,5.52,364,2018-02-12
TC1300,R212,6.67,334,2019-08-14
TC1301,R435,2.03,309,2018-06-01
TC1302,R336,7.34,193,2019-05-08
TC1303,R048,1.38,390,2019-05-24
TC1304,R113,7.2,254,2023-12-14
TC1305,R287,2.31,451,2016/12/07
TC1306,R272,4.24,454,2016/01/19
TC1307,R370,8.59,332,2022-04-10
TC1308,R447,5.15,300,2021-10-05
TC1309,R156,7.82,239,2024-12-27
TC1310,R291,3.14,69,2019-10-05
TC1311,R146,8.57,428,2019-06-17
TC1312,R089,3.48,266,2021-06-18
TC1313,R460,4.71,464,2016/09/16
TC1314,R149,2.23,58,2022-02-28
TC1315,R100,1.97,260,2021-11-30
TC1316,R065,2.61,293,2017-04-16
TC1317,R385,8.1,389,2024-11-15
TC1318,R406,7.23,471,2022-02-13
TC1319,R162,6.42,104,2016/07/05
TC1320,R361,5.6,76,2019-03-02
TC1321,R329,7.99,195,2022-09-09
TC1322,R472,3.93,163,2023-07-17
TC1323,R165,3.21,95,2024-02-22
TC1324,R155,5.14,187,2019-06-10
TC1325,R252,8.06,298,2018-01-19
TC1326,R321,7.16,368,2019-07-27
TC1327,R158,3.44,129,2021-07-05
TC1328,R314,3.5,111,2021-12-17
TC1329,R471,6.03,50,2017-07-02
TC1330,R184,1.08,346,2017-01-25
TC1331,R163,3.01,162,2022-06-16
TC1332,R203,7.61,493,2019-07-12
TC1333,R080,3.29,351,2018-08-05
TC1334,R286,1.91,113,2018-07-05
TC1335,R383,4.39,259,2022-12-24
TC1336,R178,9.06,140,2023-03-03
TC1337,R326,4.54,473,2020-02-13
TC1338,R479,7.68,260,2019-02-04
TC1339,R385,7.4,153,2022-07-28
TC1340,R329,4.13,442,2020-08-17
TC1341,R475,9.53,317,2020-05-23
TC1342,R415,8.74,127,2018-07-30
TC1343,R356,5.5,312,2017-04-25
TC1344,R017,2.92,397,2017-11-26
TC1345,R059,3.01,174,2024-01-09
TC1346,R449,9.29,110,2023-04-19
TC1347,R413,7.5,322,2018-09-14
TC1348,R374,1.1,259,2024-06-19
TC1349,R196,7.07,212,2019-10-25
TC1350,R188,6.08,158,2024-04-23
TC1351,R199,5.79,140,2020-07-02
TC1352,R328,5.13,145,2021-08-27
TC1353,R078,3.06,415,2019-07-31
TC1354,R139,3.47,198,2016/04/03
TC1355,R386,3.79,157,2024-07-28
TC1356,R160,3.24,290,2018-08-27
TC1357,R215,1.36,436,2016/02/17
TC1358,R137,3.12,248,2017-10-22
TC1359,R167,6.95,123,2023-09-21
TC1360,R220,6.12,482,2017-08-20
TC1361,R096,3.79,323,2019-09-30
TC1362,R096,7.45,410,2022-10-01
TC1363,R034,2.51,166,2018-05-15
TC1364,R486,7.15,430,2023-11-14
TC1365,R432,4.23,88,2016/04/15
TC1366,R409,1.23,188,2023-02-27
TC1367,R422,7.59,288,2021-02-02
TC1368,R381,2.79,134,2021-07-24
TC1369,R002,6.22,469,2020-04-10
TC1370,R041,6.6,222,2016/07/07
TC1371,R257,1.34,131,2024-08-01
TC1372,R433,8.65,188,2016/02/10
